node	score
79720	9
84313	8
3043	7
1068	7
7280	7
90390	7
100526767	7
112714	6
25978	6
10383	6
155382	6
347688	6
9412	6
23389	5
150465	5
81027	5
57132	5
440738	5
92421	4
11345	4
55090	4
402	3
128866	3
30849	3
22863	3
9443	3
5565	3
84246	2
3651	2
27243	2
3375	2
7405	2
1050	2
51143	2
10891	2
3630	2
10226	1
79643	1
10871	1
140735	1
2288	1
10671	1
139341	1
5481	1
93661	1
3952	1
1767	1
23568	1
10120	1
4074	0
